Identity Motives,Tagging
fair,meaning
love,meaning
thank you,meaning
thankyou,meaning
gift,meaning
happy,meaning
respect,meaning
think,meaning
intend,meaning
meaning,meaning
have in mind,meaning
signification,meaning
significance,meaning
stand for,meaning
import,meaning
mean,meaning
entail,meaning
imply,meaning
signify,meaning
substance,meaning
pregnant,meaning
significant,meaning
think of,meaning
our,belonging
we,belonging
together,belonging
alltogether,belonging
altogether,belonging
jointly,belonging
go,belonging
belong,belonging
belong to,belonging
belonging,belonging
history,continuity
ever,continuity
always,continuity
memory,continuity
memories,continuity
remembering,continuity
persistence,continuity
persist,continuity
remember,continuity
continuous,continuity
flow,continuity
connection,continuity
line,continuity
unity,continuity
unite,continuity
whole,continuity
link,continuity
cohesion,continuity
stamina,continuity
train,continuity
constancy,continuity
survival,continuity
survive,continuity
duration,continuity
prolong,continuity
long,continuity
durable,continuity
durability,continuity
vitality,continuity
vital,continuity
endure,continuity
endurance,continuity
chain,continuity
extend,continuity
extension,continuity
sequence,continuity
linking,continuity
stable,continuity
stability,continuity
connect,continuity
flow,continuity
succession,continuity
they,distinctiveness
revenge,distinctiveness
vengeance,distinctiveness
opponent,distinctiveness
faceup,distinctiveness
speciality,distinctiveness
disparateness,distinctiveness
peculiarity,distinctiveness
specialness,distinctiveness
distinctiveness,distinctiveness
specialty,distinctiveness
anticipate,efficacy
foresee,efficacy
Iknewit,efficacy
knew,efficacy
know,efficacy
asIsaid,efficacy
said,efficacy
say,efficacy
saying,efficacy
asIwassaying,efficacy
predicted,efficacy
efficacy,efficacy
efficaciousness,efficacy
effective,efficacy
effectiveness,efficacy
success,efficacy
productive,efficacy
fruitful,efficacy
potency,efficacy
power,efficacy
benefit,efficacy
advantage,efficacy
value,efficacy
virtue,efficacy
use,efficacy
usefulness,efficacy
adequacy,efficacy
ability,efficacy
vigor,efficacy
capability,efficacy
energy,efficacy
strength,efficacy
weight,efficacy
force,efficacy
capacity,efficacy
influence,efficacy
use,efficacy
performance,efficacy
proud,self esteem
proudly,self esteem
courage,self esteem
assertion,self esteem
dominating,self esteem
pride,self esteem
superbia,self esteem
pridefulness,self esteem
plume,self esteem
congratulate,self esteem
self respect,self esteem
dignity,self esteem
morale,self esteem
confidence,self esteem
assurance,self esteem
narcissism,self esteem
satisfaction,self esteem
conceit,self esteem
vanity,self esteem
morale,self esteem
egotism,self esteem
regard,self esteem
worth,self esteem
